feature,importance,std
fs,0.13353664352926997,0.0046932750276143355
class,0.12019567166095527,0.003748006281694094
ld,0.11467193771559052,0.004188033575945531
ac,0.03010832094802298,0.004140610955431617
de,0.019209744907476047,0.001568412473362206
dl,0.016254229554340482,0.003393530108003125
ad,0.010622716851412172,0.0016921421671207972
uc,0.008022269691684281,0.0018832368831911324
a,0.00555830268783779,0.0014902906597897038
fm,0.005223110597853154,0.0012555238712953533
dp,0.004931918358876819,0.0010571769739829522
ds,0.0025682502754740266,0.0012253101035568372
lb,0.002535994959518728,0.0017216468980918419
variance,0.0024514086320025718,0.0004765561960507253
c,0.0024511502695252598,0.001015425716446851
nzeros,0.0020077472414297914,0.0007712090048083633
mstv,0.0019640704022686807,0.0010551592595709363
lbe,0.0013935607868020728,0.0008829539733510218
d,0.0013583619898952515,0.0008551974935012399
min,0.0012417628918217738,0.0004877420485021753
altv,0.001241582397383012,0.000568448381631321
mltv,0.0008896818264728989,0.0009890921713981563
date,0.0008694024768995057,0.0006940918133119068
max,0.0007404896542367978,0.0009459071656171133
nmax,0.0005916497418012257,0.0010667408188569168
width,0.0005807710114537513,0.0012437422770164184
mode,0.00017550578643066306,0.0006969673748087896
susp,0.0001304750246673647,0.0002609500493347294
tendency,6.523751233368235e-05,0.00019571253700104708
dr,0.0,0.0
b,0.0,0.0
median,-4.4121303648703146e-05,0.0007471626472620238
astv,-0.00013137598826648,0.0005695543405988562
mean,-0.0003838002393400042,0.000533122720037765
e,-0.0005233416404280434,0.00026167082021402163
